"","spleenCFU","spleenCEQ","lungCFU","lungCEQ","Eotaxin","GCSF","IFNy","IL1a","IL1B","IL2","IL6","IL9","IL10","IL17","IP10","KC","LIF","LIX","MCP1","MCSF","MIG","MIP1a","MIP1b","MIP2","RANTES","TNFa","VEGF"
"CC045cs",7.75866666666667,8.086,6.872,6.99566666666667,1.38639164069296,0.229913070058903,0.746467292649404,1.82917232272134,1.02997994414163,1.11456561534115,0.908631589862148,2.31694145371423,0.294162247291886,-0.0593819939933524,1.71618756955335,2.29690690917918,0.0518859475967591,2.48521918549586,1.76802368837748,0.21989484875066,2.54824479858841,2.0163756592691,1.84566398010561,2.23862420868006,1.15785787120264,0.908588908399299,0.543502806845549
"CC046cs",6.89466666666667,7.442,5.68233333333333,5.78073133333333,1.10069169675503,0.11025429834761,0.816522942644639,1.88697846802788,1.18883947260603,1.28429779842675,0.932041554892757,2.38146753925083,0.618491108395869,-0.914909164965565,1.65385426011945,1.92025919260026,0.0386765427282827,2.56096327456159,1.340551515706,0.382449392198691,2.62135813504409,1.40466247623123,1.24784820450086,2.06733363977932,1.29365886491671,0.402864336843238,0.608538388914931
"CC047cs",5.4025,6.483,6.6575,6.7585,1.46880056608678,0.89226728099753,0.869392260503593,2.23821553650568,1.21707822390726,1.03990254804025,0.569854555912083,2.17101238684057,0.192355871469141,0.196726177566873,1.8753080725705,2.15815172476344,0.31882490428571,2.57903198882226,1.30360651884978,0.388495792428202,2.76375116775963,1.69216362227619,2.00213248816873,1.97214261034438,1.73160857893766,0.63368913130319,1.03415713757236
"CC051cs",5.9885,6.953,7.973,8.459,0.933085755889013,3.30887865069217,3.48962162283758,3.38892146834118,3.08728899171366,0.740323204588061,2.22575483784264,1.87989281979427,0.797381848472925,-0.0711830074249959,2.45714726305518,2.34727853032233,1.33196075113332,2.61869217246924,3.25239871390965,1.23767103734453,3.03124359725478,3.41986514951326,3.13621439665182,3.79841729504725,1.87928650526048,2.35362398168697,0.359582747044607
"CC055cs",6.381,7.08833333333333,6.41333333333333,6.412,1.49862083693824,1.06790403168545,2.98958062392534,2.34680934534172,1.51203475028931,0.93018407761195,1.36278283255024,1.9089724083043,0.40490626166973,-0.747940161052064,2.12460120580516,2.51440318762664,1.13745658167419,2.55246270576072,2.28803624635201,0.582926734135653,2.92268703750051,2.0592869476448,2.22625734710059,1.90013585373072,1.7544576043288,1.63260621845433,0.402374956602419
"CC056cs",5.8525,6.72166666666667,5.89166666666667,6.23966666666667,0.948156772149398,0.269960122718686,0.910222967312418,1.50124651533302,0.561621371621624,0.537475014949841,-0.495888391765952,2.06207647071193,-0.436601306657162,-1.04028426013861,1.59226643908411,1.60787829749968,-0.518413961689548,2.45163145315479,0.954743562628703,0.101527860302377,2.49797022420354,0.886185995841272,1.06251639480463,1.47318104046385,1.17303242727622,0.287432142200724,0.315238894176324
"CC057cs",5.806,5.46246,6.801,6.846,0.868644438394826,1.2135177569963,1.26410915630581,2.11614265385379,1.55509444857832,0.606381365110605,0.944482672150169,1.75883622474696,-0.853871964321762,1.01703333929878,1.97621237711738,2.3047489594871,0.434568904034199,2.49904065744722,1.97913846954681,0.424881636631067,2.85501006051224,2.05933617738929,1.7701152947871,2.41570768667486,1.3236645356081,0.94101424370557,0.322219294733919
"CC059cs",5.996,6.66466666666667,5.86133333333333,6.11966666666667,1.49544137444603,0.726607371883437,2.41005157998968,2.18324020980541,1.9222447851805,0.634549774553432,0.659831274994669,1.91627293518693,-0.73879407826975,-0.146032527037552,2.0455975622919,2.20099490369535,0.306010112261627,2.34347569346696,1.34726240873201,0.749585700175567,2.84560397158415,1.62178105731869,1.86101829137091,1.7001483111993,1.91530025011316,1.25213849411276,0.251606740527028
"CC060cs",5.39233333333333,6.19566666666667,6.07066666666667,6.02533333333333,1.3477261715551,0.372896407233327,1.74353333780168,2.42698030346943,1.45733571262353,0.303115420470195,0.330565452210471,1.55651716263405,-0.853871964321762,-0.330075608481181,2.08029236380719,2.33475822138822,0.478506568770259,2.48736086727034,1.70125143451729,0.987855568877917,2.97834965931625,1.88851011844806,2.13415036526214,1.66909831802973,2.25699200784338,1.20026139656813,0.117410439903701
"CC061cs",5.11666666666667,5.64866666666667,5.58833333333333,6.105,0.564370778246838,-0.0273057384526043,1.60228216212455,1.63579196844394,1.34351557327646,0.733476331715828,0.674450317679729,1.9159886347263,-0.379735657153075,-0.936556100609903,1.81994788943203,1.90901753722769,0.315310725312092,2.58405523047133,1.27622027480128,0.0683754596283979,2.90710535693067,1.62667861642827,1.72163513644699,1.32115833078834,1.71165028539629,0.867836995161264,0.250966302871817
"CC065cs",7.33866666666667,8.267,6.72766666666667,7.088,0.620164734895557,0.6205982951752,1.02358111446592,1.98239066076054,1.14637936210234,0.868147715352233,0.79518648196915,2.00022358369727,-0.446796002539168,0.345396542903789,1.88701610468937,2.12716866990007,0.137465846919626,2.39690434990926,0.851357372772428,0.183671828732953,2.69589485520287,1.47996785064075,1.44951315154459,1.93297120722244,1.08692202437554,1.22067298430605,0.329120538598392
"CC068cs",5.4365,6.57733333333333,6.4535,6.387,1.22427996667989,0.468731362043714,2.58779753813736,2.3729538415782,2.13212017578959,0.528713226639463,1.41497861597608,1.80816777016562,-0.523845995168937,-0.354760093334664,2.22464576992796,2.38848803246903,0.659715438783212,2.4564129134589,1.82914141350087,0.563338387519004,3.08259160942447,1.76876236625102,1.7203263863511,1.91326476831745,1.51932877509729,1.2523901317674,0.44430313742233
